oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
562113100004843,72729114,2458481.796971909,58481.2911458,13.5317125,0.0111175561,0,zg,91.8824362,22.3575639,0.515999973,0.00100000005,20181229291146,562,0xd,0x1,20.4899998,26.1582432,0.0279772524,-0.0408900455,9.32729017e-06,30,1.03900003,1
562113100004843,73322232,2458487.728063448,58487.2223264,13.8114195,0.0113773681,0,zg,91.882445,22.357542,0.316000015,-0.00100000005,20190104222326,562,0xd,0x1,20.8600006,26.1855183,0.0210082605,-0.082632944,5.35136587e-06,30,1.10300004,1
562113100004843,73421789,2458488.7236095737,58488.2178935,13.5172415,0.0111048287,32768,zg,91.8824462,22.3575315,1.70200002,0.0299999993,20190105217894,562,0xd,0x1,20.2199993,25.1933327,0.0314263664,-0.0658991262,1.19146762e-05,30,1.10699999,1
562113100004843,73720589,2458491.7115340373,58491.2058912,13.5135841,0.011101624,0,zg,91.8824526,22.3575369,0.640999973,-0.0299999993,20190108205891,562,0xd,0x1,21.2199993,26.1562748,0.0209242497,-0.0672451183,5.29285171e-06,30,1.11000001,1
562113100004843,73821204,2458492.7176633365,58492.2120486,13.537508,0.01112267,32768,zg,91.8824619,22.3575484,1.04999995,0.00800000038,20190109211921,562,0xd,0x1,17.4899998,23.4893227,0.0602833368,-0.041942481,0.000408865191,30,1.08899999,1
562113100004843,73921074,2458493.7163258395,58493.2107407,13.4968004,0.0110869622,0,zg,91.88244820000001,22.3575388,0.764999986,-0.0359999985,20190110210741,562,0xd,0x1,21.0400009,26.1114407,0.0231215693,-0.0612134039,6.4443766e-06,30,1.08599997,1
562113100004843,74126657,2458495.7720930423,58495.2665741,13.5191565,0.0111065097,0,zg,91.8824503,22.3575425,0.677999973,-0.0170000009,20190112266574,562,0xd,0x1,21.0699997,26.1491184,0.0214902684,-0.0522806719,5.56645637e-06,30,1.03299999,1
562113100004843,75123217,2458505.737276434,58505.2321759,13.5216055,0.0111086601,0,zg,91.8824133,22.3575561,1.21399999,0.0419999994,20190122232164,562,0xd,0x1,19.1000004,26.1504993,0.0453550927,-0.0360144041,2.93478497e-05,30,1.03199995,1
562113100004843,75320372,2458507.7087262967,58507.2037269,13.5116968,0.01109997,0,zg,91.8824366,22.3575399,0.749000013,-0.00999999978,20190124203692,562,0xd,0x1,20.5699997,26.1603756,0.0239655916,-0.0565342084,6.89773515e-06,30,1.04299998,1
562113100004843,75521182,2458509.7167191207,58509.2118287,13.9682446,0.0115362778,0,zg,91.8824417,22.3575617,0.558000028,-0.00700000022,20190126211829,562,0xd,0x1,20.6499996,26.155304,0.0241794959,-0.0571507849,6.98016129e-06,30,1.03400004,1
